epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3655.59,1.36411,0.799,1.08388,0.84762,0.81123,0.84171,0.30451,1.87549,0.8437,1.38615,0.0014588,0.0014588,0.0014588
43,3739.46,1.38148,0.7778,1.11122,0.87416,0.81151,0.85009,0.32094,1.8119,0.88775,1.3444,0.0014456,0.0014456,0.0014456
44,3823.58,1.45645,0.80635,1.17586,0.87427,0.7726,0.85344,0.3232,1.81464,0.79375,1.32585,0.0014324,0.0014324,0.0014324
45,3912.93,1.35521,0.69139,1.09787,0.86007,0.7866,0.84494,0.31159,1.86164,0.83792,1.37293,0.0014192,0.0014192,0.0014192
46,4000.9,1.38386,0.7279,1.10731,0.87844,0.77778,0.85212,0.31642,1.81739,0.81337,1.34872,0.001406,0.001406,0.001406
47,4085.33,1.40601,0.73512,1.14925,0.86714,0.77053,0.84017,0.31362,1.81223,0.83977,1.33564,0.0013928,0.0013928,0.0013928
48,4172.23,1.43171,0.74344,1.13118,0.89268,0.7674,0.84847,0.32059,1.83602,0.84025,1.33887,0.0013796,0.0013796,0.0013796
49,4259.03,1.3628,0.71953,1.12649,0.89905,0.78635,0.856,0.3112,1.79956,0.89412,1.34586,0.0013664,0.0013664,0.0013664
50,4342.83,1.44946,0.72964,1.13494,0.85667,0.74901,0.81714,0.30049,1.84071,0.98573,1.35633,0.0013532,0.0013532,0.0013532
51,4427.02,1.46759,0.7567,1.16922,0.86297,0.7748,0.83501,0.31182,1.78454,0.90642,1.31544,0.00134,0.00134,0.00134
52,4515.66,1.45369,0.73757,1.10679,0.88386,0.80029,0.85818,0.32203,1.83262,0.75463,1.36861,0.0013268,0.0013268,0.0013268
53,4603.65,1.3842,0.70745,1.13045,0.87691,0.77381,0.84143,0.32198,1.79411,0.93488,1.35097,0.0013136,0.0013136,0.0013136
54,4688.15,1.33432,0.67635,1.08501,0.87316,0.79861,0.86256,0.31815,1.80896,1.05677,1.33487,0.0013004,0.0013004,0.0013004
55,4771.94,1.40361,0.74046,1.12836,0.83618,0.81019,0.84018,0.30876,1.89139,0.76809,1.38699,0.0012872,0.0012872,0.0012872
56,4855.52,1.47895,0.7457,1.16102,0.87311,0.7987,0.8497,0.30974,1.82458,0.82273,1.36966,0.001274,0.001274,0.001274
57,4939.35,1.37074,0.74022,1.11478,0.8747,0.7996,0.85232,0.32039,1.82406,0.80427,1.34322,0.0012608,0.0012608,0.0012608
58,5023.01,1.37976,0.67074,1.13841,0.8839,0.78472,0.8369,0.3073,1.83292,0.82315,1.34676,0.0012476,0.0012476,0.0012476
59,5106.66,1.32409,0.66637,1.05626,0.88208,0.80889,0.85886,0.3255,1.83557,0.82724,1.35086,0.0012344,0.0012344,0.0012344
60,5187.11,1.40013,0.70227,1.12011,0.87481,0.82143,0.86449,0.3293,1.82412,0.8022,1.34591,0.0012212,0.0012212,0.0012212
61,5267.51,1.37172,0.67837,1.09507,0.89745,0.79872,0.86331,0.31926,1.79513,0.94792,1.3396,0.001208,0.001208,0.001208
62,5347.4,1.36085,0.66679,1.10637,0.86477,0.81203,0.8545,0.31943,1.83908,0.84573,1.36422,0.0011948,0.0011948,0.0011948
63,5428.02,1.37375,0.67394,1.10944,0.89041,0.80754,0.86949,0.31965,1.8893,0.7827,1.37669,0.0011816,0.0011816,0.0011816
64,5509.41,1.42348,0.70331,1.16253,0.88613,0.80287,0.87224,0.33708,1.85868,0.83943,1.36011,0.0011684,0.0011684,0.0011684
65,5590.23,1.32934,0.62874,1.0797,0.88151,0.8006,0.85202,0.31908,1.87414,0.88183,1.36594,0.0011552,0.0011552,0.0011552
