epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3227.94,1.50365,0.76014,1.23969,0.87108,0.79762,0.84244,0.30159,1.8265,0.74596,1.42105,0.0014588,0.0014588,0.0014588
43,3336.43,1.52493,0.73519,1.2367,0.88169,0.79266,0.83585,0.31678,1.82241,0.78521,1.39982,0.0014456,0.0014456,0.0014456
44,3444.67,1.5369,0.7793,1.25184,0.89294,0.78603,0.84086,0.31424,1.80131,0.79637,1.40534,0.0014324,0.0014324,0.0014324
45,3514.06,1.45572,0.76558,1.20849,0.87879,0.79835,0.84408,0.31555,1.79429,0.74598,1.41325,0.0014192,0.0014192,0.0014192
46,3576.34,1.56269,0.80749,1.28346,0.86693,0.81448,0.85395,0.31466,1.82352,0.76609,1.41343,0.001406,0.001406,0.001406
47,3640.18,1.48329,0.80719,1.21773,0.89435,0.78101,0.83649,0.30604,1.82056,0.79811,1.41241,0.0013928,0.0013928,0.0013928
48,3703.95,1.52826,0.8019,1.22416,0.87202,0.7748,0.82596,0.30197,1.82435,0.83652,1.43256,0.0013796,0.0013796,0.0013796
49,3768,1.53341,0.81099,1.26832,0.87674,0.80442,0.84819,0.30928,1.77584,0.86938,1.39614,0.0013664,0.0013664,0.0013664
50,3830.46,1.51069,0.83692,1.23788,0.87528,0.79367,0.85028,0.31125,1.77858,0.72941,1.40117,0.0013532,0.0013532,0.0013532
51,3892.95,1.57444,0.8261,1.26065,0.87572,0.81092,0.83771,0.30472,1.85321,0.76588,1.44478,0.00134,0.00134,0.00134
52,3955.82,1.51509,0.78533,1.25702,0.87889,0.80633,0.84641,0.3199,1.85118,0.75022,1.42119,0.0013268,0.0013268,0.0013268
53,4018.35,1.47159,0.77375,1.19318,0.88828,0.82038,0.85433,0.30563,1.84712,0.76344,1.44675,0.0013136,0.0013136,0.0013136
54,4081.78,1.46025,0.70441,1.20239,0.87664,0.80371,0.84847,0.31109,1.85886,0.7274,1.44052,0.0013004,0.0013004,0.0013004
55,4145.55,1.4959,0.73922,1.21945,0.88074,0.80754,0.8428,0.30222,1.89072,0.73067,1.45241,0.0012872,0.0012872,0.0012872
56,4208.88,1.5615,0.75696,1.2712,0.85677,0.81896,0.84063,0.29707,1.8489,0.74881,1.46113,0.001274,0.001274,0.001274
57,4272.62,1.54166,0.77865,1.27809,0.88808,0.7996,0.85329,0.30503,1.8334,0.72072,1.44243,0.0012608,0.0012608,0.0012608
58,4381.34,1.48108,0.74213,1.22832,0.88136,0.81349,0.85179,0.31085,1.81101,0.69924,1.40645,0.0012476,0.0012476,0.0012476
59,4489.36,1.47766,0.77088,1.23233,0.88547,0.78472,0.8463,0.31549,1.84975,0.71956,1.45002,0.0012344,0.0012344,0.0012344
60,4597.07,1.48928,0.73135,1.24844,0.89317,0.80159,0.86611,0.32585,1.83897,0.77979,1.43443,0.0012212,0.0012212,0.0012212
61,4704.28,1.47165,0.78684,1.22961,0.87819,0.79391,0.85463,0.31359,1.89213,0.74571,1.46283,0.001208,0.001208,0.001208
62,4811.62,1.50783,0.75268,1.20745,0.86711,0.78974,0.83586,0.30182,1.89344,0.7605,1.49342,0.0011948,0.0011948,0.0011948
63,4918.87,1.52827,0.76136,1.2505,0.85526,0.81482,0.84884,0.31158,1.87647,0.73943,1.47719,0.0011816,0.0011816,0.0011816
64,5026.08,1.48025,0.81435,1.21002,0.88031,0.79533,0.85653,0.32954,1.83088,0.72635,1.41331,0.0011684,0.0011684,0.0011684
65,5133.26,1.45127,0.74157,1.1885,0.86877,0.80159,0.84597,0.30367,1.84094,0.71904,1.42694,0.0011552,0.0011552,0.0011552
66,5240.5,1.49659,0.71074,1.23423,0.88177,0.8006,0.85064,0.32244,1.8113,0.72412,1.40541,0.001142,0.001142,0.001142
67,5347.69,1.40875,0.71272,1.18425,0.86381,0.82242,0.85647,0.32317,1.81985,0.71243,1.41289,0.0011288,0.0011288,0.0011288
68,5455.17,1.45137,0.74555,1.24582,0.88454,0.8006,0.8475,0.30658,1.83041,0.73542,1.44497,0.0011156,0.0011156,0.0011156
