bestandsnaam,aantal_mensen
27032026_120015.jpeg,3
27032026_121509.jpeg,2
27032026_123008.jpeg,2
27032026_124509.jpeg,1
27032026_130009.jpeg,0
27032026_131508.jpeg,1
27032026_133008.jpeg,2
27032026_134508.jpeg,1
27032026_140008.jpeg,1
27032026_141509.jpeg,1
27032026_143008.jpeg,2
27032026_144509.jpeg,0
27032026_150008.jpeg,1
27032026_151508.jpeg,0
27032026_153008.jpeg,1
27032026_154509.jpeg,0
27032026_160008.jpeg,0
27032026_161508.jpeg,4
27032026_163008.jpeg,3
27032026_164509.jpeg,1
27032026_170009.jpeg,2
27032026_171509.jpeg,0
27032026_173008.jpeg,0
27032026_174508.jpeg,0
27032026_180008.jpeg,0
27032026_181509.jpeg,0
27032026_183008.jpeg,0
27032026_184508.jpeg,0
27032026_190009.jpeg,0
27032026_191508.jpeg,0
27032026_193008.jpeg,0
27032026_194508.jpeg,0
28032026_080009.jpeg,0
28032026_081509.jpeg,0
28032026_083009.jpeg,0
28032026_084509.jpeg,0
28032026_090008.jpeg,0
28032026_091509.jpeg,0
28032026_093008.jpeg,0
28032026_094509.jpeg,0
28032026_100009.jpeg,0
28032026_101509.jpeg,0
28032026_103008.jpeg,0
28032026_104508.jpeg,0
28032026_110008.jpeg,0
28032026_111509.jpeg,0
28032026_113008.jpeg,0
28032026_114509.jpeg,0
28032026_120008.jpeg,0
28032026_121508.jpeg,0
28032026_123008.jpeg,0
28032026_124509.jpeg,0
28032026_130009.jpeg,0
28032026_131509.jpeg,0
28032026_133008.jpeg,0
28032026_134508.jpeg,0
28032026_140008.jpeg,0
28032026_141508.jpeg,0
28032026_143008.jpeg,0
28032026_144509.jpeg,0
28032026_150008.jpeg,0
28032026_151509.jpeg,0
28032026_153008.jpeg,0
28032026_154509.jpeg,0
28032026_160009.jpeg,0
28032026_161509.jpeg,0
28032026_163008.jpeg,0
28032026_164508.jpeg,0
28032026_170008.jpeg,0
28032026_171509.jpeg,0
28032026_173009.jpeg,0
28032026_174509.jpeg,0
28032026_180009.jpeg,0
28032026_181509.jpeg,0
28032026_183008.jpeg,0
