epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8208,1.78901,25.11,1.34838,0.68213,0.55853,0.59984,0.19907,1.84829,9.99688,1.42778,0.000662366,0.000662366,0.000662366
2,68.4764,1.65491,18.6561,1.25522,0.73247,0.62103,0.6616,0.22843,1.85478,7.02018,1.37908,0.00132026,0.00132026,0.00132026
3,99.5979,1.62567,17.0526,1.25481,0.71132,0.37599,0.47612,0.15674,1.84999,6.13928,1.38745,0.00196936,0.00196936,0.00196936
