bestandsnaam,aantal_mensen
30032026_080008.jpeg,0
30032026_081509.jpeg,0
30032026_083008.jpeg,0
30032026_084509.jpeg,0
30032026_090009.jpeg,0
30032026_091509.jpeg,0
30032026_093009.jpeg,2
30032026_094508.jpeg,2
30032026_100009.jpeg,1
30032026_101508.jpeg,0
30032026_103009.jpeg,0
30032026_104509.jpeg,0
30032026_110008.jpeg,0
30032026_111508.jpeg,0
30032026_113009.jpeg,2
30032026_114508.jpeg,0
30032026_120009.jpeg,1
30032026_121508.jpeg,1
30032026_123009.jpeg,1
30032026_124508.jpeg,2
30032026_130009.jpeg,0
30032026_131508.jpeg,2
30032026_133009.jpeg,1
30032026_134508.jpeg,2
30032026_140008.jpeg,0
30032026_141508.jpeg,2
30032026_143009.jpeg,2
30032026_144509.jpeg,0
30032026_150008.jpeg,1
30032026_151508.jpeg,2
30032026_153008.jpeg,1
30032026_154509.jpeg,1
30032026_160009.jpeg,2
30032026_161509.jpeg,1
30032026_163009.jpeg,2
30032026_164509.jpeg,1
30032026_170009.jpeg,1
30032026_171509.jpeg,0
30032026_173009.jpeg,0
30032026_174508.jpeg,0
30032026_180008.jpeg,0
30032026_181509.jpeg,0
30032026_183009.jpeg,0
30032026_184508.jpeg,0
30032026_190009.jpeg,0
30032026_191509.jpeg,0
30032026_193009.jpeg,0
30032026_194508.jpeg,0
31032026_080008.jpeg,0
31032026_081508.jpeg,0
31032026_083009.jpeg,0
31032026_084508.jpeg,1
31032026_090009.jpeg,0
31032026_091508.jpeg,1
31032026_093008.jpeg,1
31032026_094508.jpeg,0
31032026_100008.jpeg,1
31032026_101508.jpeg,1
31032026_103009.jpeg,1
31032026_104509.jpeg,0
31032026_110009.jpeg,0
31032026_111509.jpeg,1
31032026_113009.jpeg,0
31032026_114508.jpeg,1
31032026_120008.jpeg,0
31032026_121509.jpeg,0
31032026_123008.jpeg,0
31032026_124509.jpeg,0
31032026_130009.jpeg,0
31032026_131509.jpeg,0
31032026_133008.jpeg,0
31032026_134509.jpeg,0
31032026_140009.jpeg,0
31032026_141508.jpeg,1
31032026_143009.jpeg,0
31032026_144509.jpeg,1
31032026_150008.jpeg,0
31032026_151508.jpeg,1
31032026_153009.jpeg,0
31032026_154509.jpeg,0
31032026_160009.jpeg,0
31032026_161508.jpeg,1
31032026_163009.jpeg,0
31032026_164508.jpeg,1
31032026_170009.jpeg,0
31032026_171509.jpeg,0
31032026_173009.jpeg,0
31032026_174508.jpeg,0
31032026_180009.jpeg,0
31032026_181509.jpeg,0
31032026_183009.jpeg,0
31032026_184509.jpeg,0
31032026_190009.jpeg,0
31032026_191509.jpeg,0
31032026_193009.jpeg,0
31032026_194508.jpeg,0
01042026_080008.jpeg,0
01042026_081508.jpeg,0
01042026_083008.jpeg,0
01042026_084508.jpeg,0
01042026_090009.jpeg,0
01042026_091509.jpeg,1
01042026_093009.jpeg,1
01042026_094509.jpeg,2
01042026_100008.jpeg,1
01042026_101509.jpeg,1
01042026_103008.jpeg,3
01042026_104508.jpeg,3
01042026_110008.jpeg,2
01042026_111508.jpeg,0
01042026_113008.jpeg,1
01042026_114509.jpeg,1
01042026_120008.jpeg,3
01042026_121508.jpeg,1
01042026_123009.jpeg,1
01042026_124509.jpeg,2
01042026_130008.jpeg,1
01042026_131508.jpeg,1
01042026_133008.jpeg,0
01042026_134509.jpeg,1
01042026_140008.jpeg,0
01042026_141509.jpeg,1
01042026_143008.jpeg,2
01042026_144509.jpeg,2
01042026_150009.jpeg,2
01042026_151509.jpeg,2
01042026_153009.jpeg,2
01042026_154508.jpeg,1
01042026_160008.jpeg,1
01042026_161508.jpeg,1
01042026_163008.jpeg,1
01042026_164508.jpeg,2
01042026_170008.jpeg,1
01042026_171509.jpeg,2
01042026_173008.jpeg,0
01042026_174509.jpeg,0
01042026_180009.jpeg,0
01042026_181509.jpeg,0
01042026_183009.jpeg,0
01042026_184509.jpeg,0
01042026_190009.jpeg,0
01042026_191509.jpeg,0
01042026_193009.jpeg,0
01042026_194508.jpeg,0
02042026_080009.jpeg,0
02042026_081508.jpeg,0
02042026_083008.jpeg,0
02042026_084509.jpeg,0
02042026_090009.jpeg,0
02042026_091508.jpeg,0
02042026_093009.jpeg,2
02042026_094508.jpeg,1
02042026_100009.jpeg,1
02042026_101509.jpeg,1
02042026_103009.jpeg,1
02042026_104509.jpeg,1
02042026_110008.jpeg,1
02042026_111508.jpeg,0
02042026_113008.jpeg,1
02042026_114508.jpeg,1
02042026_120008.jpeg,1
02042026_121508.jpeg,1
02042026_123008.jpeg,1
02042026_124509.jpeg,1
02042026_130008.jpeg,1
02042026_131508.jpeg,1
02042026_133009.jpeg,1
02042026_134508.jpeg,1
02042026_140009.jpeg,1
02042026_141508.jpeg,1
02042026_143008.jpeg,1
02042026_144509.jpeg,1
02042026_150008.jpeg,0
02042026_151508.jpeg,0
02042026_153009.jpeg,0
02042026_154508.jpeg,0
02042026_160009.jpeg,0
02042026_161509.jpeg,0
02042026_163009.jpeg,0
02042026_164508.jpeg,0
02042026_170008.jpeg,0
02042026_171509.jpeg,0
02042026_173008.jpeg,0
02042026_174509.jpeg,0
02042026_180009.jpeg,0
02042026_181508.jpeg,0
02042026_183009.jpeg,0
02042026_184509.jpeg,0
02042026_190008.jpeg,0
02042026_191508.jpeg,0
02042026_193008.jpeg,0
02042026_194508.jpeg,0
03042026_080009.jpeg,0
03042026_081508.jpeg,0
03042026_083008.jpeg,0
03042026_084508.jpeg,0
03042026_090008.jpeg,0
03042026_091508.jpeg,0
03042026_093008.jpeg,0
03042026_094509.jpeg,0
03042026_100008.jpeg,0
03042026_101509.jpeg,0
03042026_103009.jpeg,0
03042026_104509.jpeg,0
03042026_110009.jpeg,0
03042026_111509.jpeg,0
03042026_113008.jpeg,0
03042026_114508.jpeg,0
03042026_120009.jpeg,0
03042026_121508.jpeg,0
03042026_123008.jpeg,0
03042026_124508.jpeg,0
03042026_130009.jpeg,0
03042026_131509.jpeg,0
03042026_133009.jpeg,0
03042026_134508.jpeg,0
03042026_140009.jpeg,0
03042026_141509.jpeg,0
03042026_143009.jpeg,0
03042026_144508.jpeg,0
03042026_150008.jpeg,0
03042026_151508.jpeg,0
03042026_153008.jpeg,0
