epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.354,1.42308,25.1777,1.04513,0.71862,0.63492,0.66678,0.22195,1.65682,9.40848,1.30335,0.000664509,0.000664509,0.000664509
2,226.185,1.25941,18.2703,0.99038,0.72057,0.56281,0.5945,0.19617,1.65693,7.29183,1.28419,0.00132459,0.00132459,0.00132459
3,327.725,1.3431,13.3107,1.02192,0.68242,0.56746,0.60246,0.21212,1.68897,4.79123,1.2709,0.00197806,0.00197806,0.00197806
4,430.266,1.31685,9.13339,1.00305,0.58497,0.47321,0.46823,0.16436,1.6581,5.17898,1.23195,0.0019703,0.0019703,0.0019703
5,532.303,1.37887,6.03337,1.03724,0.77579,0.65563,0.68969,0.24454,1.61899,2.31006,1.22396,0.0019604,0.0019604,0.0019604
6,634.487,1.24451,4.69578,0.9363,0.82074,0.67857,0.72484,0.25675,1.6216,1.07973,1.23138,0.0019505,0.0019505,0.0019505
7,737.374,1.30361,3.66827,0.9965,0.83075,0.68849,0.75,0.26208,1.60688,1.9439,1.23904,0.0019406,0.0019406,0.0019406
8,838.515,1.26595,2.80844,0.96777,0.85248,0.67649,0.75969,0.27416,1.63433,0.99668,1.22536,0.0019307,0.0019307,0.0019307
9,939.575,1.33766,2.19196,1.02799,0.79967,0.65873,0.7257,0.2428,1.62855,1.09905,1.22614,0.0019208,0.0019208,0.0019208
10,1038.46,1.26851,1.89613,0.95368,0.76793,0.67955,0.71572,0.23845,1.65278,0.97106,1.26238,0.0019109,0.0019109,0.0019109
11,1137.47,1.28576,1.72151,0.95156,0.80045,0.64583,0.7016,0.24086,1.69162,1.18375,1.28597,0.001901,0.001901,0.001901
12,1232.38,1.34074,1.53975,1.04165,0.85314,0.70833,0.77223,0.26427,1.62904,1.04598,1.23028,0.0018911,0.0018911,0.0018911
13,1332,1.32309,1.37653,1.0217,0.81288,0.6756,0.73768,0.25623,1.65827,1.13294,1.23708,0.0018812,0.0018812,0.0018812
14,1429.85,1.27016,1.22812,0.97937,0.83626,0.69414,0.76396,0.29279,1.60863,0.96973,1.24026,0.0018713,0.0018713,0.0018713
15,1527.39,1.24408,1.16587,0.93825,0.84931,0.6989,0.78187,0.28566,1.61563,0.8871,1.22074,0.0018614,0.0018614,0.0018614
16,1624.37,1.18249,1.05148,0.92982,0.80602,0.71131,0.7581,0.26583,1.71062,0.90369,1.29386,0.0018515,0.0018515,0.0018515
17,1722.08,1.24201,1.07232,0.95625,0.82902,0.70437,0.76424,0.27738,1.67168,0.92721,1.24312,0.0018416,0.0018416,0.0018416
18,1821.46,1.18452,0.99517,0.90651,0.85168,0.71778,0.78051,0.28002,1.626,0.9455,1.21355,0.0018317,0.0018317,0.0018317
19,1918.23,1.19741,0.94936,0.93416,0.88245,0.75967,0.81338,0.29786,1.60681,0.87914,1.20718,0.0018218,0.0018218,0.0018218
20,2019.62,1.14027,0.85343,0.89044,0.87718,0.6994,0.78196,0.27598,1.68858,0.98547,1.25269,0.0018119,0.0018119,0.0018119
21,2124.02,1.21526,1.02069,0.93713,0.85335,0.73413,0.78922,0.28238,1.6525,0.96168,1.25643,0.001802,0.001802,0.001802
22,2226.29,1.21825,0.9366,0.95366,0.80188,0.73115,0.76775,0.27167,1.68979,0.88785,1.25102,0.0017921,0.0017921,0.0017921
23,2329.91,1.24602,0.92104,0.96902,0.87762,0.70734,0.77751,0.2898,1.61019,0.83185,1.20219,0.0017822,0.0017822,0.0017822
