bestandsnaam,aantal_mensen
20042026_080009.jpeg,0
20042026_081509.jpeg,0
20042026_083008.jpeg,0
20042026_084509.jpeg,0
20042026_090008.jpeg,0
20042026_091509.jpeg,0
20042026_093009.jpeg,0
20042026_094508.jpeg,2
20042026_100009.jpeg,1
20042026_101509.jpeg,2
20042026_103008.jpeg,1
20042026_104509.jpeg,1
20042026_110008.jpeg,0
20042026_111508.jpeg,4
20042026_113008.jpeg,2
20042026_114509.jpeg,1
20042026_120009.jpeg,1
20042026_121509.jpeg,2
20042026_123008.jpeg,2
20042026_124508.jpeg,3
20042026_130008.jpeg,2
20042026_131508.jpeg,4
20042026_133008.jpeg,1
20042026_134509.jpeg,2
20042026_140008.jpeg,0
20042026_141508.jpeg,0
20042026_143008.jpeg,1
20042026_144508.jpeg,2
20042026_150009.jpeg,1
20042026_151508.jpeg,1
20042026_153008.jpeg,2
20042026_154508.jpeg,2
20042026_160009.jpeg,1
20042026_161509.jpeg,1
20042026_163009.jpeg,2
20042026_164508.jpeg,1
20042026_170009.jpeg,1
20042026_171508.jpeg,1
20042026_173008.jpeg,0
20042026_174509.jpeg,0
20042026_180009.jpeg,0
20042026_181508.jpeg,0
20042026_183009.jpeg,0
20042026_184509.jpeg,0
20042026_190008.jpeg,0
20042026_191509.jpeg,0
20042026_193009.jpeg,0
20042026_194509.jpeg,0
21042026_080009.jpeg,0
